"totalPop","blackPop","state","county","tract","block group",
"595","20","13","089","020200","1",
"2641","121","13","089","021303","1",
"835","152","13","089","021812","1",
"1221","178","13","089","021812","2",
"4798","3663","13","089","021907","1",
"1106","54","13","089","022301","3",
"1263","39","13","089","022301","1",
"753","572","13","089","023101","1",
"711","519","13","089","023101","3",
"1534","1330","13","089","023101","4",
"1740","34","13","089","022302","1",
"2505","487","13","089","022402","1",
"1304","70","13","089","022800","3",
"1144","1051","13","089","023209","1",
"1447","1353","13","089","023211","2",
"1117","1006","13","089","023309","1",
"1614","1569","13","089","023309","2",
"2192","1951","13","089","023310","3",
"2928","2827","13","089","023310","1",
"1964","1867","13","089","023414","1",
"1138","75","13","089","021303","2",
"1152","54","13","089","021405","1",
"1780","72","13","089","021405","2",
"1738","27","13","089","020400","1",
"2447","3","13","089","021210","3",
"1504","120","13","089","021211","1",
"1233","122","13","089","021706","3",
"1459","124","13","089","021706","4",
"590","0","13","089","021706","1",
"1611","580","13","089","021706","2",
"1692","259","13","089","022900","1",
"231","43","13","089","022900","2",
"1707","659","13","089","023102","1",
"1683","1323","13","089","023102","2",
"1633","263","13","089","021603","1",
"2532","1134","13","089","021806","3",
"982","211","13","089","022302","2",
"1415","1244","13","089","023108","3",
"1549","1470","13","089","023108","2",
"1593","1316","13","089","023108","1",
"2490","1350","13","089","021810","1",
"1589","184","13","089","021810","3",
"959","22","13","089","021210","2",
"2345","52","13","089","021210","1",
"2921","904","13","089","021301","2",
"905","74","13","089","021209","4",
"1667","51","13","089","021405","3",
"1234","64","13","089","021204","2",
"1602","241","13","089","021809","5",
"1881","646","13","089","021806","2",
"2882","1030","13","089","021805","3",
"1600","167","13","089","021704","1",
"2543","2543","13","089","023309","4",
"719","380","13","089","021814","3",
"2772","1348","13","089","021409","1",
"1158","13","13","089","021409","2",
"2938","854","13","089","021218","2",
"1375","273","13","089","021218","3",
"3960","312","13","089","021215","1",
"1512","126","13","089","021410","1",
"2572","25","13","089","021410","2",
"4229","684","13","089","021216","2",
"2348","529","13","089","021216","3",
"256","256","13","089","021911","1",
"1313","1150","13","089","021911","2",
"2752","1649","13","089","021813","1",
"1584","97","13","089","021605","2",
"3360","1513","13","089","021605","3",
"1496","136","13","089","021416","1",
"1058","859","13","089","023803","1",
"1191","1089","13","089","023803","2",
"2007","1401","13","089","023803","3",
"1606","1211","13","089","023803","4",
"1028","28","13","089","020300","1",
"3695","1861","13","089","022008","3",
"979","170","13","089","022008","4",
"1788","1511","13","089","023603","1",
"1862","1687","13","089","023603","2",
"1723","366","13","089","021603","3",
"1587","283","13","089","021603","2",
"1551","1541","13","089","023414","2",
"972","702","13","089","023601","2",
"1416","765","13","089","023601","1",
"1433","124","13","089","021809","3",
"824","142","13","089","021809","1",
"2082","1689","13","089","021906","1",
"1084","795","13","089","021906","2",
"2065","489","13","089","022600","2",
"2495","284","13","089","022600","3",
"1779","931","13","089","023107","1",
"2248","2103","13","089","023501","2",
"1113","1037","13","089","023501","1",
"1185","711","13","089","023700","2",
"1312","1086","13","089","023700","4",
"1461","790","13","089","023801","3",
"856","561","13","089","023801","1",
"1210","1119","13","089","023210","1",
"2642","2577","13","089","023210","3",
"1453","1282","13","089","023507","1",
"3533","3350","13","089","023208","3",
"3280","2993","13","089","023208","1",
"1831","1695","13","089","023212","2",
"969","48","13","089","020300","2",
"1289","555","13","089","020600","2",
"663","46","13","089","020802","3",
"950","368","13","089","020802","1",
"3554","2835","13","089","021908","2",
"1889","1207","13","089","021908","1",
"1222","947","13","089","021909","2",
"2872","2609","13","089","021909","1",
"3858","921","13","089","021202","1",
"2703","133","13","089","021202","3",
"2549","51","13","089","021602","2",
"1638","534","13","089","021704","2",
"1248","1107","13","089","023504","3",
"2680","500","13","089","022001","2",
"654","30","13","089","021306","2",
"1474","171","13","089","021306","3",
"1069","72","13","089","021305","1",
"1548","490","13","089","021417","1",
"1430","289","13","089","021417","2",
"1307","110","13","089","021415","2",
"1394","33","13","089","021415","3",
"395","14","13","089","021102","1",
"1847","319","13","089","021102","4",
"2819","265","13","089","021102","2",
"2590","209","13","089","021215","2",
"2475","548","13","089","021414","1",
"1681","660","13","089","021414","2",
"3927","237","13","089","021101","1",
"4125","4090","13","089","023316","2",
"3041","3016","13","089","023306","3",
"1174","627","13","089","022005","1",
"3287","3245","13","089","023214","2",
"1369","1205","13","089","022009","3",
"1920","1432","13","089","022009","1",
"1045","619","13","089","021913","3",
"1796","1520","13","089","021913","1",
"2568","2372","13","089","023313","1",
"2726","2561","13","089","023313","2",
"1133","1044","13","089","023602","1",
"1997","40","13","089","020100","1",
"896","67","13","089","021301","1",
"2377","2152","13","089","023306","2",
"2257","1927","13","089","023306","1",
"2000","1271","13","089","023206","3",
"2576","2178","13","089","023206","2",
"1616","1502","13","089","023411","1",
"2376","2204","13","089","023413","1",
"1728","1602","13","089","023413","2",
"2952","1809","13","089","023802","2",
"1482","189","13","089","021208","2",
"1850","115","13","089","021214","1",
"1549","114","13","089","021209","1",
"1591","300","13","089","021209","2",
"2117","2051","13","089","023418","4",
"3917","3597","13","089","023418","2",
"703","670","13","089","023303","2",
"1846","1782","13","089","023303","4",
"802","566","13","089","023303","3",
"874","14","13","089","022500","2",
"2408","1433","13","089","022500","1",
"2111","99","13","089","022500","4",
"2153","2054","13","089","023505","2",
"2807","266","13","089","021704","3",
"1192","510","13","089","021705","3",
"1419","14","13","089","021705","2",
"4751","4703","13","089","023428","3",
"1471","1454","13","089","023426","2",
"3222","2904","13","089","023426","1",
"1830","229","13","089","022301","5",
"1777","965","13","089","022007","2",
"2321","1088","13","089","022007","1",
"2838","308","13","089","021307","2",
"1378","96","13","089","021412","1",
"1012","0","13","089","021412","3",
"938","721","13","089","023310","4",
"1203","262","13","089","020801","1",
"2775","2712","13","089","023425","1",
"1477","297","13","089","022204","3",
"558","21","13","089","022204","4",
"2685","2362","13","089","023423","2",
"2415","2196","13","089","023423","1",
"2109","2108","13","089","023419","2",
"5926","5511","13","089","023419","1",
"2694","2493","13","089","023312","3",
"4865","4430","13","089","023312","1",
"2449","2103","13","089","023311","1",
"2226","2148","13","089","023213","2",
"3983","3487","13","089","023213","3",
"2500","2342","13","089","023410","1",
"1242","798","13","089","023114","1",
"547","433","13","089","023112","3",
"1256","21","13","089","022403","1",
"1039","59","13","089","022403","3",
"1415","0","13","089","022401","3",
"842","99","13","089","022401","2",
"2065","1406","13","089","022100","2",
"1624","991","13","089","022100","1",
"2026","318","13","089","022700","3",
"1461","399","13","089","022700","2",
"1926","429","13","089","022700","1",
"2612","1874","13","089","023204","3",
"2402","1650","13","089","023204","2",
"2392","2209","13","089","023506","2",
"2116","287","13","089","021308","1",
"613","76","13","089","021308","2",
"1662","137","13","089","021308","3",
"2614","2158","13","089","023112","2",
"1451","276","13","089","021912","2",
"740","219","13","089","021912","3",
"1811","1187","13","089","021910","2",
"1760","1458","13","089","021910","1",
"1063","37","13","089","021604","2",
"1444","43","13","089","021504","1",
"1047","308","13","089","021503","3",
"1416","81","13","089","021503","2",
"1436","1115","13","089","023107","3",
"3291","3135","13","089","023412","3",
"1802","1727","13","089","023412","1",
"2270","2163","13","089","023416","1",
"1164","1121","13","089","023416","3",
"1789","700","13","089","020500","2",
"1616","535","13","089","020900","1",
"1727","944","13","089","020900","3",
"1704","513","13","089","020700","1",
"1155","22","13","089","021204","1",
"1366","67","13","089","021213","1",
"2362","1201","13","089","021805","2",
"1266","563","13","089","022004","2",
"1976","1852","13","089","023506","1",
"3645","3301","13","089","023424","1",
"3015","380","13","089","021413","1",
"1066","110","13","089","021413","2",
"1102","135","13","089","021411","2",
"2110","1533","13","089","022004","3",
"1804","1742","13","089","023209","3",
"1888","1813","13","089","023424","2",
"1946","1899","13","089","023422","1",
"4278","4151","13","089","023422","2",
"3792","3621","13","089","023421","1",
"1091","1081","13","089","023421","2",
"4219","3880","13","089","023421","3",
"4057","3843","13","089","023315","1",
"1876","1333","13","089","023315","2",
"1323","1163","13","089","023314","1",
"2967","2760","13","089","023314","2",
"1771","1733","13","089","023314","3",
"2240","1806","13","089","023115","1",
"3551","3345","13","089","023206","1",
"0","0","13","089","980000","1",
"724","724","13","089","023428","1",
"963","40","13","089","020400","2",
"2910","2546","13","089","023428","2",
"2500","2282","13","089","023204","1",
"1044","438","13","089","023113","1",
"1736","1235","13","089","023113","2",
"2263","1899","13","089","023111","1",
"1621","1013","13","089","021814","1",
"2878","2760","13","089","023214","1",
"1843","429","13","089","022800","2",
